Date,Month,Pond,Site,Group,Species,TC,PC,MeanL,SDL,SL1,SL2,SL3,SL4,SL5,SL6,SL7,SL8,SL9,SL10,SL11,SL12,SL13,SL14,SL15,SL16,SL17,SL18,SL19,SL20,SL21,SL22,SL23,SL24,SL25,SL26,SL27,SL28,SL29,SL30,Notes
10/25/2022,1,Tule Red,TR2,Inland Silverside,Inland Silverside,40,10,64.73333333,6.543927605,78,62,67,66,58,63,74,73,67,67,61,63,55,62,77,64,78,64,71,67,59,61,67,55,65,59,58,62,54,65,ClAmerican Shad in sein
10/25/2022,1,Tule Red,TR2,Non-native,Yellowfin Goby,1,0,123,#DIV/0!,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClAmerican Shad in sein
10/25/2022,1,Tule Red,TR2,Non-native,Paliamon Shrimp,2,2,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClAmerican Shad in sein
10/25/2022,1,Tule Red,TR4,Inland Silverside,Inland Silverside,311,281,46.13333333,6.268329444,45,46,39,55,39,46,42,39,49,60,63,55,47,42,40,42,42,45,46,42,45,42,50,44,43,56,42,48,40,50,
10/25/2022,1,Tule Red,TR4,Non-native,Mosquitofish,112,82,23.36666667,3.428916923,28,24,27,23,23,26,20,24,23,25,24,28,25,20,26,22,18,32,23,25,22,24,20,27,18,15,23,23,22,21,
10/25/2022,1,Tule Red,TR4,Threespine Stickleback,Threespine Stickleback,1,0,23,#DIV/0!,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2022,1,Tule Red,TR4,Non-native,Paliamon Shrimp,2,2,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2022,1,Tule Red,TR3,Inland Silverside,Inland Silverside,178,148,42.73333333,7.579160782,63,45,41,55,53,39,40,47,46,38,35,42,44,44,35,47,40,34,33,34,28,37,35,49,47,47,53,42,48,41,
10/25/2022,1,Tule Red,TR3,Non-native,Mosquitofish,30,0,20.5,3.126637502,16,21,20,21,22,19,22,20,25,16,24,22,21,22,18,18,17,15,12,22,24,19,24,24,20,23,25,20,22,21,
10/25/2022,1,Tule Red,TR3,Threespine Stickleback,Threespine Stickleback,1,0,33,#DIV/0!,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2022,1,Tule Red,TR3,Non-native,Shimofuri Goby,1,0,42,#DIV/0!,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2022,1,Tule Red,TR3,Non-native,Paliamon Shrimp,4,4,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2022,1,Denverton,DP5,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2022,1,Denverton,DPOUT,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2022,1,Denverton,DP3,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,2,Miramonte,MRM7,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2022,1,Miramonte,MRM5,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2022,1,Miramonte,MRM6,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,2,Miramonte,MRM5,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,2,Miramonte,MRM6,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2022,1,Miramonte,MRM7,Non-native,Mosquitofish,1,0,38,#DIV/0!,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,2,Tule Red,TR4,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,2,Tule Red,TR3,Inland Silverside,Inland Silverside,254,224,39.43333333,6.667902184,42,41,43,43,49,38,41,32,44,41,48,45,43,46,38,39,23,40,49,39,45,34,42,37,34,22,42,28,36,39,
11/15/2022,2,Tule Red,TR3,Non-native,Rainwater Killifish,35,5,20.5,4.376662246,16,22,17,24,12,15,22,20,23,13,16,21,21,17,24,21,19,17,22,25,24,22,25,17,30,22,26,24,13,25,
11/15/2022,2,Tule Red,TR3,Threespine Stickleback,Threespine Stickleback,1,0,29,#DIV/0!,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,2,Tule Red,TR3,Non-native,Mosquitofish,2,0,32.5,9.192388155,39,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,2,Tule Red,TR3,Non-native,Paliamon Shrimp,1,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,2,Tule Red,TR3,Non-native,Exopaliamon Shrimp,1,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,2,Tule Red,TR2,Non-native,Yellowfin Goby,1,0,110,#DIV/0!,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClAmerican Shad in sein
11/15/2022,2,Tule Red,TR2,Non-native,Rainwater Killifish,1,0,20,#DIV/0!,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClAmerican Shad in sein
11/15/2022,2,Tule Red,TR2,Non-native,Shimofuri Goby,1,0,30,#DIV/0!,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClAmerican Shad in sein
11/15/2022,2,Tule Red,TR2,Non-native,Paliamon Shrimp,4,4,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClAmerican Shad in sein
11/16/2022,2,Denverton,DPOUT,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,2,Denverton,DP5,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,2,Denverton,DP3,Inland Silverside,Inland Silverside,2,0,58.5,9.192388155,65,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2022,3,Denverton,DPOUT,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2022,3,Denverton,DP5,Inland Silverside,Inland Silverside,1,0,76,#DIV/0!,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2022,3,Denverton,DP3,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2022,3,Tule Red,TR4,Inland Silverside,Inland Silverside,81,51,52.46666667,6.452656942,50,55,49,55,60,51,60,53,48,49,65,52,62,65,58,50,53,59,57,45,50,47,39,41,45,51,57,48,52,48,
12/15/2022,3,Tule Red,TR3,Inland Silverside,Inland Silverside,2,0,45.5,10.60660172,53,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2022,3,Tule Red,TR2,,NONE,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR4,Inland Silverside,Inland Silverside,1,0,51,#DIV/0!,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR4,Listed,Splittail,1,0,43,#DIV/0!,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR4,Native,Pacific Staghorn Sculpin,1,0,25,#DIV/0!,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR3,Listed,Chinook Salmon,1,0,39,#DIV/0!,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR3,Inland Silverside,Inland Silverside,3,0,48.33333333,10.21436896,60,44,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR3,Native,Pacific Staghorn Sculpin,3,0,29,2.645751311,30,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,4,Tule Red,TR2,Listed,Chinook Salmon,1,0,39,#DIV/0!,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
